Time (min),Mean Intensity,Protein Concentration (microgram / milliliter),Number of Protein Molecules,Rate of Change of Protein Molecules
0.0,0.0,0.0,18795.728813905305,2657.5417122453655
0.05,0.30351686477661133,0.011073090467688784,18928.605899517574,2369.5294324914576
0.1,0.5412461757659912,0.019746078604095052,19032.68175715445,-157.57053261558758
0.15000000000000002,0.26752471923828125,0.009760002695892389,18912.848846256016,-986.9018154494406
0.2,0.31581878662109375,0.011521896808682985,18933.991575609503,1087.2869850570278
0.25,0.5158820152282715,0.01882072757136788,19021.57754476172,573.1750506643148
0.30000000000000004,0.4467430114746094,0.01629835556421866,18991.309080675932,252.48214018082945
0.35000000000000003,0.5735538005828857,0.020924745406208034,19046.825758779803,172.8514152051357
0.4,0.48622560501098633,0.017738784024261767,19008.594222196447,179.886466342723
0.45,0.6146433353424072,0.02242379929239746,19064.814405414076,54.030027757398784
0.5,0.4985671043395996,0.0181890342555735,19013.997224972187,-201.32667189414497
0.55,0.5686564445495605,0.020746077026612797,19044.68173822466,298.35401368138264
0.6000000000000001,0.5667169094085693,0.020675317702918194,19043.832626340325,-250.88516269705724
0.65,0.5113494396209717,0.018655367337470308,19019.59322195495,182.854965665465
0.7000000000000001,0.6084845066070557,0.022199109083463897,19062.118122906875,922.9183384861972
0.75,0.7221617698669434,0.02634635349152159,19111.885055803567,346.01387569803046
0.8,0.6875207424163818,0.025082558047614167,19096.71951047668,-743.5391473441268
0.8500000000000001,0.5523231029510498,0.02015019393032058,19037.531141069154,216.33408513691393
0.9,0.7369356155395508,0.026885342090421593,19118.352918990367,455.7105721895932
0.9500000000000001,0.6564161777496338,0.023947782031900955,19083.102198288118,280.4542967736488
1.0,0.8009967803955078,0.02922246123020189,19146.398348667728,873.342103488947
1.05,0.8559043407440186,0.03122563289430902,19170.436408637015,528.7477633320668
1.1,0.9217729568481445,0.0336286925913023,19199.273125000935,632.2235540699621
1.1500000000000001,1.0003163814544678,0.03649416251155868,19233.658764044012,546.9230371389422
1.2000000000000002,1.0467007160186768,0.03818638456746015,19253.96542871483,493.7520371390856
1.25,1.1130988597869873,0.040608762821051636,19283.033967757925,334.6544600407651
1.3,1.1231422424316406,0.04097517173446641,19287.430874718902,876.8627603861678
1.35,1.3133912086486816,0.047915952490936276,19370.720243796542,1381.9710818541935
1.4000000000000001,1.4388110637664795,0.05249159741658449,19425.627982904323,607.798148777656
1.4500000000000002,1.4522240161895752,0.052980937064083466,19431.500058674308,486.3861089673301
1.5,1.5499110221862793,0.056544814991312586,19474.266593801058,686.781732550764
1.55,1.609098196029663,0.058704118168672936,19500.17823192938,391.3001907878788
1.6,1.639291524887085,0.059805649914544734,19513.396612879846,646.8646018899744
1.6500000000000001,1.75685453414917,0.06409465651775581,19564.86469211838,803.9518661558395
1.7000000000000002,1.8229296207427979,0.06650524879917685,19593.79179949543,266.97810311825015
1.75,1.8178374767303467,0.06631947404374161,19591.562502430206,1167.6274778032966
1.8,2.0896382331848145,0.0762354777808707,19710.554547275755,1272.843243355106
1.85,2.108579397201538,0.07692650107170107,19718.84682676572,889.5279399860301
1.9000000000000001,2.292823553085327,0.08364821061408767,19799.50734127436,401.98532706312835
1.9500000000000002,2.2004005908966064,0.08027637879722715,19759.04535947203,722.9277000424045
2.0,2.457954168319702,0.089672608114441,19871.8001112786,1501.8174574647564
2.0500000000000003,2.5434446334838867,0.09279152427609993,19909.227105218506,699.7986647074868
2.1,2.6178016662597656,0.09550426365367026,19941.77997774935,1347.6183217593061
2.15,2.851266622543335,0.10402167695742737,20043.988937394435,1206.1626488637412
2.2,2.893312454223633,0.10555561906086819,20062.396242635725,1341.4777867678786
2.25,3.1576859951019287,0.11520065851382633,20178.13671607122,1047.3281033508829
2.3000000000000003,3.132542371749878,0.11428335325545902,20167.129052970813,547.6578555367305
2.35,3.2827816009521484,0.11976447397663215,20232.902501624892,1761.2835037526092
2.4000000000000004,3.534853458404541,0.12896071578673074,20343.257403346077,1802.9990606908686
2.45,3.6946213245391846,0.13478946614905585,20413.202407693978,1469.387333007151
2.5,3.8704898357391357,0.1412056102284569,20490.19613664679,1152.146190196072
2.5500000000000003,3.957793712615967,0.14439068440068992,20528.417026713585,1219.239076260128
2.6,4.148987531661987,0.15136593586395763,20612.1200442728,2032.0056318605493
2.6500000000000004,4.421942949295044,0.16132406466619442,20731.61758989964,2069.8487793447275
2.7,4.621780872344971,0.16861467569183075,20819.104922207276,1366.817539952841
2.75,4.734150409698486,0.17271421083246796,20868.299343894923,1503.9707676274702
2.8000000000000003,4.9653167724609375,0.18114776542205946,20969.501998970023,1906.2441769033612
2.85,5.1695733070373535,0.18859957897332924,21058.923761585258,2019.887390954449
2.9000000000000004,5.4266979694366455,0.19798016034667998,21171.49073806547,2369.2225623082486
2.95,5.710749387741089,0.20834310032589798,21295.846017816082,1987.7453487096354
3.0,5.8807373046875,0.21454470491926037,21370.26527293643,1833.7758437534794
3.0500000000000003,6.129619121551514,0.22362456569051048,21479.223602191432,2423.5897297566407
3.1,6.434331893920898,0.23474128600056576,21612.624245912095,2907.4290249590704
3.1500000000000004,6.793731927871704,0.24785314089850274,21769.966504687338,2796.953671472147
3.2,7.073210000991821,0.25804923326283347,21892.31961305931,2431.701957863668
3.25,7.34917950630188,0.26811732388069975,22013.136700473704,2634.5379300463246
3.3000000000000003,7.674989223480225,0.2800037160132198,22155.773406063945,2544.652104562323
3.35,7.930427074432373,0.2893227580853859,22267.601910929938,2113.212458797294
3.4000000000000004,8.157687664031982,0.2976138198365308,22367.094651943677,2598.8219983215677
3.45,8.524048089981079,0.3109796080713991,22527.484110762096,3356.272593968577
3.5,8.924324989318848,0.32558275811960224,22702.721911340534,2897.4672255441255
3.5500000000000003,9.185885429382324,0.33512516828426664,22817.230833316506,2724.9498187015706
3.6,9.546756029129028,0.3482906732754485,22975.21689321069,3420.5180587412906
3.6500000000000004,9.96719765663147,0.36362948544044427,23159.282639190635,3294.1773080301646
3.7,10.299209594726562,0.37574215084236684,23304.634624013706,3075.386173875828
3.75,10.66967511177063,0.38925770355607603,23466.821256578216,3121.355118556763
3.8000000000000003,11.012187242507935,0.40175344349700626,23616.770135869385,3084.7154449541413
3.85,11.3742835521698,0.4149636655973601,23775.29280107363,3303.750822723581
3.9000000000000004,11.766827583312988,0.42928470035303645,23947.145218141744,3838.934509692801
3.95,12.25117015838623,0.4469547865114669,24159.18625204291,25627.712232132646
4.0,17.62069082260132,0.6428489689541412,26509.916441355,24901.23569323751
4.05,17.93909215927124,0.6544650839551118,26649.30982136665,4011.076157127449
4.1000000000000005,18.536897897720337,0.6762746035968701,26911.02405706775,4037.7352433446213
4.15,18.861388683319092,0.688112877649651,27053.083345701118,716.6817436615238
4.2,18.700601816177368,0.6822469514607161,26982.6922314339,-17728.0908857029
4.25,14.811951160430908,0.5403787869354608,25280.274257130834,-14612.515155595465
4.3,15.362821817398071,0.5604759918307542,25521.44071587436,3927.8892868661205
4.3500000000000005,15.70915675163269,0.5731111976593448,25673.063185817446,4164.359901164018
4.4,16.31404185295105,0.595178991007121,25937.876705990762,4415.806615420763
4.45,16.717812061309814,0.6099095861211845,26114.64384735952,4352.425397286366
4.5,17.30821967124939,0.631449202651174,26373.119245719397,4380.544726313965
4.55,17.71841287612915,0.6464141255071336,26552.698319990912,4202.0339569146745
4.6000000000000005,18.26804518699646,0.6664661522921298,26793.322641410865,4803.179076619446
4.65,18.81555151939392,0.6864406178122966,27033.016227652864,5097.058422017959
4.7,19.432311534881592,0.7089416391422794,27303.02848361266,5196.418603462866
4.75,20.002513647079468,0.7297441061744867,27552.658087999145,4643.555436350056
4.800000000000001,20.49298906326294,0.7476379344451964,27767.384027247666,4958.340573919821
4.8500000000000005,21.135094165802002,0.7710636109571514,28048.492145391123,4621.873074735689
4.9,21.54871392250061,0.7861535434013271,28229.571334721233,4838.765580103791
4.95,22.24036145210266,0.8113866574580162,28532.3687034015,5492.838499969395
5.0,22.80338406562805,0.8319271975677389,28778.855184718173,5422.261489172932
5.050000000000001,23.478910446166992,0.8565721698677904,29074.59485231879,5914.8048335498315
5.1000000000000005,24.154439449310303,0.8812172378473209,29370.33566807316,5880.156684809306
5.15,24.822051525115967,0.9055734755745339,29662.610520799717,5308.934539290145
5.2,25.36710238456726,0.9254583590080716,29901.22912200217,4923.483669952548
5.25,25.946670055389404,0.9466025061574719,30154.95888779497,4919.090416207968
5.300000000000001,26.49071741104126,0.9664507791431385,30393.138163622967,6148.922776443593
5.3500000000000005,27.351202487945557,0.9978435292945025,30769.851165439337,6183.606413572794
5.4,27.903172254562378,1.0179808325895783,31011.498804980245,4899.215874856396
5.45,28.470277786254883,1.0386703282516385,31259.77275292497,5814.092962012568
5.5,29.231223106384277,1.066431607273016,31592.9081011815,6771.829584748892
5.550000000000001,30.017094135284424,1.0951022414578797,31936.955711399864,5930.305952903465
