SSE Value,k_TL,k_TX,R_p,tau_m,K_TL,R,k_deg,X_p,K_p,tau_0,tau_f,N_p,N_m,D
24271.72391730606,11.198985591874873,3.0157731609641942,39.15934934843622,461.4217006344011,0.8232384923286062,85.6256056985614,0.3844320113223745,1.5210244654901146,59.07918128470924,0.0,0.0,705.0,2115.0,100.0
273438.9426600415,11.417906192624677,1.6667576310307552,40.7922013464277,650.0856514628738,4.5608139311680205,70.52685719794471,0.23051976910065974,1.516733160337992,24.517509561445607,0.0,0.0,705.0,2115.0,100.0
116071.38224181155,15.212510462308465,16.926004652482845,43.5165440501562,474.98912541806044,5.374577942795625,70.60472938357469,1.4733839470491787,2.0243966375116713,15.731151196133943,0.0015082364860852238,251.0402590866554,705.0,2115.0,100.0
371312.55087875354,11.25308507748538,2.038031937266169,42.80537302779118,684.4193583271579,6.107646681318776,75.99107793050092,0.23671507149389015,1.8445546815328555,17.049631505375444,0.0,0.0,705.0,2115.0,100.0
1018136.4032968263,9.830662384800185,0.3555082242686112,27.168093364088662,727.5826004881928,5.3509080937502915,92.56877099485206,0.002392721886181448,0.5653452468594367,4.309890273984848,0.0,317.6061389051307,705.0,2115.0,100.0
960400.3538062195,7.930963246954107,0.4875531580437098,30.311442184580443,633.186004891847,23.4220074457874,107.70858534263658,0.0,0.4201526328071452,3.2129943934064116,0.0,298.89936306717095,705.0,2115.0,100.0
1025264.2263803801,9.546953006111394,0.2957895936935273,32.89450543446611,722.5637140859735,5.026041132136491,77.56455437992292,0.0,0.902070972472103,4.10789483914877,3.552713678800501e-15,332.7242136849618,705.0,2115.0,100.0
15242.610736348459,19.47092402661817,2.828410603591209,82.17287256290922,452.3659266978939,3.6848117953875317,98.89825592989348,0.6449154639112109,2.3395537264269706,30.156811283739636,0.0,86.56286254504471,705.0,2115.0,100.0
75904.51395340641,18.02407180975134,10.09877952200219,54.72360563779165,577.1557823244564,35.11565270804654,62.90638598081392,1.3791756671559625,1.9961960980055267,38.43178936424908,0.0,298.95385267696884,705.0,2115.0,100.0
961976.3899667234,9.140787600446735,0.728221210190533,36.50158444550479,615.4226315625067,4.977464615695695,76.31021646502307,0.13901018324917658,0.39653363313632894,4.644663869412483,0.0,277.9633017240923,705.0,2115.0,100.0
