Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
17.0,1.8229296207428000,0.06650524879917690,0.6807087901655780,816850548.1986920,27326315.569938300
17.5,1.8178374767303500,0.06631947404374160,0.6788073085336920,814568770.2404290,119511512.56942300
18.0,2.0896382331848100,0.0762354777808707,0.780301717306763,936362060.768115,130280782.32908200
18.5,2.108579397201540,0.07692650107170110,0.7873746271412610,944849552.5695120,91046872.05588910
19.0,2.292823553085330,0.08364821061408770,0.8561741106866700,1027408932.8240000,41144864.59192730
19.5,2.2004005908966100,0.08027637879722720,0.8216620143012000,985994417.1614390,73994646.88253830
20.0,2.457954168319700,0.089672608114441,0.9178363164221220,1101403579.7065400,153717242.31983000
20.5,2.5434446334838900,0.09279152427609990,0.9497597162343890,1139711659.4812700,71627294.23823050
21.0,2.6178016662597700,0.09550426365367030,0.9775257282873110,1173030873.944770,137934321.5720870
21.5,2.851266622543340,0.10402167695742700,1.0647049842111300,1277645981.0533600,123455747.06896100
22.0,2.893312454223630,0.10555561906086800,1.0804055175114500,1296486621.013730,137305812.36109300
22.5,3.1576859951019300,0.11520065851382600,1.1791264945120400,1414951793.4144500,107198372.91206800
23.0,3.132542371749880,0.11428335325545900,1.1697374949381700,1403684993.9258000,56055051.74377660
23.5,3.2827816009521500,0.11976447397663200,1.2258390376318500,1471006845.1582200,180274667.73312200
24.0,3.534853458404540,0.12896071578673100,1.319966384715770,1583959661.658920,184544427.91103900
24.5,3.6946213245391800,0.13478946614905600,1.3796260608910500,1655551273.0692600,150397884.647609
25.0,3.8704898357391400,0.1412056102284570,1.4452979552554400,1734357546.306530,117926938.60758300
25.5,3.957793712615970,0.14439068440069000,1.4778985097307100,1773478211.6768500,124794173.61925100
26.0,4.148987531661990,0.15136593586395800,1.5492930999381600,1859151719.9257800,207984199.78101800
26.5,4.421942949295040,0.16132406466619400,1.6512186762148900,1981462411.457860,211857602.798851
27.0,4.621780872344970,0.16861467569183100,1.7258411022705300,2071009322.7246400,139899441.1415380
27.5,4.734150409698490,0.17271421083246800,1.7678015438328400,2121361852.599400,153937642.54119200
28.0,4.9653167724609400,0.18114776542205900,1.8541224710548600,2224946965.2658300,195111993.54179700
28.5,5.1695733070373500,0.18859957897332900,1.9303948717843300,2316473846.1412000,206743847.59001600
29.0,5.4266979694366500,0.19798016034668000,2.026409010713200,2431690812.855840,242499750.49214400
29.5,5.710749387741090,0.20834310032589800,2.1324779971944600,2558973596.6333400,203453976.3264740
30.0,5.8807373046875,0.21454470491926000,2.19595399098527,2635144789.1823200,187694559.23782000
