Time,Mean Intensity,Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules (PM),Rate of Change of Number of PM
95.0,55.791175842285156,2.0354082724696188,35.70449013581759,24424.899269635425,261.5690464409781
95.5,56.17516374588013,2.049417157274536,35.84457898386677,24593.005887294436,361.4967289693959
96.0,56.61690402030945,2.0655329998837355,36.00573740995876,24786.39599860482,370.0392015984871
96.5,57.02040457725525,2.0802537574077435,36.152944985198836,24963.045088892923,341.3408899498354
97.0,57.39659237861633,2.0939780740462215,36.29018815158362,25127.736888554657,335.1503580816134
97.5,57.7859525680542,2.108182953914545,36.432236950266855,25298.195446974536,314.32107470091796
98.0,58.11456227302551,2.1201714969379646,36.552122380501054,25442.057963255575,345.34596335041715
98.5,58.57478928565979,2.1369617841937463,36.72002525305887,25643.541410324953,377.6483296092956
99.0,58.97718381881714,2.1516421910720727,36.86682932184213,25819.70629286487,408.76371364953957
99.5,59.50848436355591,2.1710254269978746,37.06066168110015,26052.305123974493,378.6031760159276
100.0,59.841986417770386,2.1831924557400666,37.18233196852207,26198.309468880798,319.4439279625185
100.5,60.23815584182739,2.1976457543280845,37.326864954402254,26371.74905193701,228.4059823826792
101.0,60.363709688186646,2.20222628760529,37.3726702871743,26426.715451263477,363.9226734581134
101.5,61.06942534446716,2.2279726437829273,37.630133848950685,26735.671725395125,458.0247282544806
102.0,61.409926414489746,2.24039501495983,37.75435756071971,26884.740179517958,1656.729492269118
102.5,64.85371470451355,2.3660334348053538,39.01074175917494,28392.401217664243,1769.528604561343
103.0,65.45187067985535,2.3878557320066087,39.228964731187496,28654.2687840793,410.2958726354227
103.5,65.7909095287323,2.400224757524972,39.35265498637113,28802.697090299665,170.66470420618498
104.0,65.84170174598694,2.4020777906904573,39.37118531802598,28824.933488285486,-1165.1282602299834
104.5,63.12953209877014,2.30313073583914,38.381714769512804,27637.568830069682,-960.916799858951
105.0,63.646782636642456,2.3220013907022112,38.57042131814352,27864.016688426535,418.28556142438174
105.5,64.0849769115448,2.337987865957839,38.7302860706998,28055.854391494064,347.9667808431914
106.0,64.44160580635071,2.350998622439144,38.86039363551285,28211.983469269726,255.86313983138825
106.5,64.6694176197052,2.359309794277121,38.94350535389261,28311.717531325452,365.2285417783205
107.0,65.27585816383362,2.381434334254004,39.16475075366145,28577.212011048046,433.66090575403723
107.5,65.65998268127441,2.3954482030899578,39.304889442020986,28745.37843707949,361.6086217708871
108.0,66.1018419265747,2.4115683860682444,39.466091271803855,28938.820632818934,350.51839597833896
108.5,66.46063423156738,2.424658069421486,39.596988105336266,29095.89683305783,295.2040016890678
109.0,66.7761447429657,2.4361687195423336,39.712094606544746,29234.024634508,389.5696099590714
109.5,67.35048627853394,2.4571222035847415,39.92162944696882,29485.4664430169,396.1362143680708
