Time (min),Mean Intensity,Protein Concentration (microgram / milliliter),Number of Protein Molecules,Rate of Change of Protein Molecules
48.0,24.21878480911255,0.8835647251633572,29023.265595305973,239.20280270418516
48.5,24.406647443771362,0.8904184462921862,29105.51024885192,217.76927731999967
49.0,24.716211795806885,0.9017121649400237,29241.034872625973,364.6103131746495
49.5,25.239487648010254,0.9208026390567401,29470.12056202657,351.61216898828206
50.0,25.51936173439026,0.931013179022381,29592.647041614255,247.22036031590324
50.5,25.804186582565308,0.9414043357497324,29717.34092234247,268.64031661035915
51.0,26.13298797607422,0.9533998720732444,29861.287358224614,299.16294018457484
51.5,26.487532377243042,0.9663345807651136,30016.503862527046,269.66227782234637
52.0,26.748948574066162,0.9758717285584395,30130.94963604696,244.61342504569984
52.5,27.046276569366455,0.986719032852255,30261.117287572746,297.5169052225647
53.0,27.428534507751465,1.0006648039936534,30428.466541269525,275.9298403691828
53.5,27.67655348777771,1.009713186216354,30537.04712794193,315.7390445778292
54.0,28.14974331855774,1.026976391041806,30744.205585847354,335.10683261686427
54.5,28.442002058029175,1.0376387556010922,30872.153960558793,196.4759310704976
55.0,28.59853219985962,1.0433493852976805,30940.68151691785,289.38494974665446
55.5,29.103013038635254,1.0617541680799802,31161.538910305448,278.2090299335796
56.0,29.234015226364136,1.0665334711254788,31218.89054685143,204.65590024853736
56.5,29.570486545562744,1.0788088264340248,31366.194810553985,397.79550528696564
57.0,30.142656803131104,1.0996830965660593,31616.686052138397,348.65034983280566
57.5,30.366871118545532,1.1078630222534254,31714.84516038679,232.434645123878
58.0,30.673582315444946,1.1190526503263825,31849.120697262275,264.1581331392954
58.5,30.970259189605713,1.1298762000150337,31979.003293526086,300.72505554547024
59.0,31.360496282577515,1.1441130716218386,32149.845752807745,297.78860015003374
59.5,31.650465726852417,1.154691916694203,32276.79189367612,296.57020026978716
60.0,32.037919759750366,1.168827254977654,32446.415953077532,255.87399510317118
60.5,32.234931230545044,1.1760147496194673,32532.66588877929,305.2509732365106
61.0,32.73517179489136,1.1942648360806967,32751.666926314043,343.22114827612313
61.5,33.018914461135864,1.2046165119758108,32875.887037055414,221.64523561290844
62.0,33.24145221710205,1.2127352723817726,32973.31216192695,176.99082259409624
62.5,33.423195600509644,1.2193657471919854,33052.87785964951,307.63318350524787
63.0,33.94414567947388,1.2383713710072097,33280.9453454322,391.53681483725813
63.5,34.31754112243652,1.2519938150950902,33444.41467448677,297.6655389439329
64.0,34.62407112121582,1.2631768325858705,33578.61088437613,267.4184722688733
64.5,34.92837643623352,1.2742786877841628,33711.83314675564,234.6119621376638
65.0,35.15997004508972,1.282727829430676,33813.222846513796,254.70381768027437
65.5,35.51016902923584,1.2955040059241858,33966.536964435916,306.693784985393
66.0,35.860517740249634,1.3082856448461255,34119.91663149919,337.27506877829
66.5,36.28057026863098,1.32361026165571,34303.812033214206,306.78897736874205
67.0,36.56128287315369,1.3338513929601872,34426.70560886793,213.57747236919386
67.5,36.7684223651886,1.3414083843531426,34517.3895055834,269.646203669894
68.0,37.17720675468445,1.3563219099326784,34696.351812537825,253.8390491539467
68.5,37.34823966026306,1.362561638449305,34771.22855473735,211.47259341904282
69.0,37.6602509021759,1.3739446260509318,34907.82440595687,317.105973801823
69.5,38.07257080078125,1.388987136266124,35088.33452853917,343.1142656000811
70.0,38.443989992141724,1.4025374815176055,35250.93867155695,245.86397323085112
70.5,38.63417148590088,1.4094758007020278,35334.19850177002,300.62589681282407
71.0,39.130677461624146,1.427589639585341,35551.56456836977,315.7136808177893
71.5,39.35532236099243,1.4357852741035106,35649.91218258781,245.38936822309915
72.0,39.6911940574646,1.448038753603932,35796.95393659287,299.54423160602164
72.5,40.039539098739624,1.4607472934040127,35949.45641419383,303.9884216258288
73.0,40.38556218147278,1.4733711220727517,36100.9423582187,318.0043519196479
73.5,40.76592230796814,1.4872476560639831,36267.46076611348,309.9774003227358
74.0,41.09361028671265,1.4992025720996458,36410.91975854144,289.0865341501849
74.5,41.42625164985657,1.5113382005764984,36556.547300263665,283.4740455045103
75.0,41.741119623184204,1.522825409225022,36694.39380404595,271.89053111143585
75.5,42.04730200767517,1.5339957448357846,36828.4378313751,285.78684466038976
76.0,42.393911838531494,1.5466409796133878,36980.18064870634,255.2736150713681
76.5,42.630396127700806,1.5552685460917322,37083.71144644647,227.36387629131787
77.0,42.913254737854004,1.5655879693043313,37207.544524997655,363.9158889132523
77.5,43.461650133132935,1.5855948701678364,37447.62733535972,340.90208646345127
78.0,43.691940784454346,1.5939964765096186,37548.446611461106,282.3439490851306
78.5,44.10657811164856,1.6091235325915973,37729.97128444485,300.28113755604136
79.0,44.377840757369995,1.6190199046392886,37848.72774901715,276.6386687412305
79.5,44.73847413063049,1.6321767549866997,38006.60995318608,314.3130376246918
80.0,45.095792293548584,1.6452126577746795,38163.04078664184,322.8337997102062
80.5,45.47588872909546,1.659079571629217,38329.44375289629,290.30691720508185
81.0,45.75890922546387,1.669404900875103,38453.34770384692,247.82167974623007
81.5,46.04196119308472,1.6797313782747358,38577.26543264252,295.9222240463059
82.0,46.434852600097656,1.6940650862122957,38749.26992789323,363.3107075112348
82.5,46.871832847595215,1.7100072705673388,38940.57614015375,376.0850660946526
83.0,47.29390335083008,1.7254055083868498,39125.35499398788,284.35248749818857
83.5,47.52134871482849,1.7337033111921882,39224.92862765194,287.33288586884737
84.0,47.95022702217102,1.7493499155425867,39412.68787985673,333.38595890610304
84.5,48.28286647796631,1.7614854744343633,39558.314586558045,316.72196856242954
85.0,48.673681020736694,1.7757434129227896,39729.409848419156,271.92153126258927
85.5,48.903987646102905,1.7841456020395792,39830.236117820634,194.00896617975377
86.0,49.11683487892151,1.7919108267711024,39923.41881459891,282.8921403102795
86.5,49.55016779899597,1.8077199470654355,40113.12825813091,427.2369855424404
87.0,50.09272646903992,1.8275139088996393,40350.65580014135,385.93779090369935
87.5,50.431724071502686,1.839881429640744,40499.06604903461,266.49473039102304
88.0,50.701451778411865,1.8497218030988907,40617.15053053237,236.83238710575824
88.5,50.972694873809814,1.8596174618995573,40735.89843614037,302.804570735585
89.0,51.393115758895874,1.8749555173268564,40919.95510126796,335.6720373929711
89.5,51.739434480667114,1.887590131682305,41071.57047353334,330.53154431473376
90.0,52.148113489151,1.902499812686417,41250.48664558269,349.8098807391434
90.5,52.53846764564514,1.9167409550772336,41421.380354272485,387.93662219872203
91.0,53.03423547744751,1.9348278645363108,41638.423267781414,301.98405831730634
91.5,53.22825741767883,1.9419062932703421,41723.36441258979,268.59574736946524
92.0,53.64775991439819,1.9572108434837667,41907.01901515088,370.35943211615086
92.5,54.07422971725464,1.9727695792800213,42093.72384470594,314.039777033031
93.0,54.365087270736694,1.9833808249031857,42221.05879218391,309.73012975678284
93.5,54.781713008880615,1.9985804234264202,42403.453974462725,361.25822612297634
94.0,55.19027066230774,2.0134856770801,42582.31701830689,348.47175973641424
94.5,55.57768964767456,2.027619736737788,42751.92573419914,263.0711446742207
95.0,55.791175842285156,2.0354082724696188,42845.38816298111,261.5690464409781
95.5,56.17516374588013,2.049417157274536,43013.49478064012,361.4967289694032
96.0,56.61690402030945,2.0655329998837355,43206.88489195051,370.03920159849076
96.5,57.02040457725525,2.0802537574077435,43383.53398223861,341.34088994983176
97.0,57.39659237861633,2.0939780740462215,43548.22578190034,335.1503580816134
97.5,57.7859525680542,2.108182953914545,43718.68434032022,314.3210747009143
98.0,58.11456227302551,2.1201714969379646,43862.54685660126,345.34596335041715
98.5,58.57478928565979,2.1369617841937463,44064.03030367064,377.64832960929925
99.0,58.97718381881714,2.1516421910720727,44240.195186210556,408.76371364953957
99.5,59.50848436355591,2.1710254269978746,44472.79401732018,378.60317601593124
100.0,59.841986417770386,2.1831924557400666,44618.79836222649,319.44392796251486
100.5,60.23815584182739,2.1976457543280845,44792.23794528269,228.40598238267557
101.0,60.363709688186646,2.20222628760529,44847.20434460916,363.92267345811706
101.5,61.06942534446716,2.2279726437829273,45156.16061874081,458.02472825448785
102.0,61.409926414489746,2.24039501495983,45305.22907286365,1656.7294922691144
102.5,64.85371470451355,2.3660334348053538,46812.890111009925,1769.5286045613393
103.0,65.45187067985535,2.3878557320066087,47074.75767742499,410.2958726354191
103.5,65.7909095287323,2.400224757524972,47223.185983645344,170.66470420618862
104.0,65.84170174598694,2.4020777906904573,47245.42238163118,-1165.1282602299761
104.5,63.12953209877014,2.30313073583914,46058.05772341537,-960.9167998589619
105.0,63.646782636642456,2.3220013907022112,46284.50558177222,418.285561424389
105.5,64.0849769115448,2.337987865957839,46476.34328483976,347.9667808431914
106.0,64.44160580635071,2.350998622439144,46632.47236261541,255.86313983138098
106.5,64.6694176197052,2.359309794277121,46732.20642467114,365.2285417783278
107.0,65.27585816383362,2.381434334254004,46997.700904393736,433.66090575404087
107.5,65.65998268127441,2.3954482030899578,47165.86733042518,361.60862177087984
108.0,66.1018419265747,2.4115683860682444,47359.309526164616,350.51839597833896
108.5,66.46063423156738,2.424658069421486,47516.38572640352,295.2040016890678
109.0,66.7761447429657,2.4361687195423336,47654.51352785368,389.5696099590641
109.5,67.35048627853394,2.4571222035847415,47905.95533636258,396.1362143680817
110.0,67.68099617958069,2.469180070739673,48050.649742221765,320.09273920689157
110.5,68.08163976669312,2.483796598518649,48226.04807556947,358.89271627236303
111.0,68.50077629089355,2.499087797095704,48409.54245849413,209.51321686185838
111.5,68.56020832061768,2.5012560332571376,48435.56129243133,221.57258879403525
112.0,69.0068907737732,2.517552179495207,48631.11504728816,464.8808761628243
112.5,69.62208580970764,2.539996106270706,48900.442168594156,468.2621889462316
