Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
153.0,8.625981330871580,0.31469839977305900,4.02427621193171,4829131454.3180500,49169775.40135260
156.0,8.862752914428710,0.32333644750340800,4.134737180350480,4961684616.420580,50334035.1563727
159.0,9.165432929992680,0.33437900751920100,4.275946387713570,5131135665.256290,54760006.34407620
162.0,9.449639558792110,0.3447476099839420,4.408537212070860,5290244654.485040,55291593.60917080
165.0,9.75801682472229,0.355998020620387,4.552404355759430,5462885226.911310,51049884.94727830
168.0,9.996763229370120,0.36470811499832700,4.663786636807260,5596543964.168710,59788640.34558460
171.0,10.398797512054400,0.37937537899551100,4.8513475574873500,5821617068.984820,78248973.59666050
174.0,10.835391283035300,0.39530346367462200,5.055031504790560,6066037805.748670,54343875.134633100
177.0,10.981224298477200,0.40062383417315200,5.123066933160520,6147680319.792620,51510641.36821220
180.0,11.387453079223600,0.41544412444959300,5.312584711631620,6375101653.957940,74567371.40281920
183.0,11.780395030975300,0.4297796763916540,5.495903790174610,6595084548.20953,53209803.022679500
186.0,11.957725524902300,0.4362491574314600,5.578633726745020,6694360472.094020,51627587.897028400
189.0,12.333710193634000,0.4499660632593930,5.754041729659750,6904850075.591700,70771670.15128300
192.0,12.716216087341300,0.46392088046061200,5.932492077501440,7118990493.001720,74762556.64988680
195.0,13.13497281074520,0.4791982229094980,6.127854512909190,7353425415.491020,62114423.613844400
198.0,13.381923198700000,0.48820762009362500,6.243064195570650,7491677034.684780,69010264.5577569
201.0,13.874585628509500,0.5061812363515810,6.4729058356979700,7767487002.837560,75834851.98601340
204.0,14.19467806816100,0.5178590472201560,6.6222384555007200,7946686146.600860,63519806.33364390
207.0,14.555354833602900,0.5310174806280360,6.790504867366190,8148605840.839430,57440900.40546940
210.0,14.810297012329100,0.5403184392786950,6.909442957528060,8291331549.03368,47296361.8617363
213.0,15.06225037574770,0.5495103581159750,7.02698667667487,8432384012.009840,69030130.11800580
