k_TL,k_TX,R_p,tau_m,K_TL,R,k_deg,X_p,K_p,tau_0,tau_f,N_p,N_m,D
9.92854251035051,0.44937632462130495,29.410062821482057,717.5979619123691,5.008421596826977,35.82414762438566,0.024072930991970054,1.5794178177381752,3.999622672905808,20.67751364893047,300.0000573218905,401.0,2097.0,100.0
85.15,96.73,453.09,9028.64,58.33,76729.41,22.600000000000005,487.32,3.9399999999999977,856172.7,1465.68,401.0,2097.0,100.0
23.67,11.769999999999996,398.52,1988.6800000000003,94.11,15276.71,21.339999999999996,44.18000000000001,53.6,751390.91,1989.04,401.0,2097.0,100.0
53.69,88.44,400.41,7013.7,55.37,29956.98,57.93,56.97999999999999,27.43,667232.2,1809.68,401.0,2097.0,100.0
48.1,3.5700000000000003,119.55000000000001,1763.4,2.3299999999999983,25107.08,24.930000000000003,423.05,61.36,164173.38,540.79,401.0,2097.0,100.0
77.43,58.54,34.639999999999986,9233.01,51.35,9598.519999999997,83.42,74.43,95.73,859987.33,93.02999999999997,401.0,2097.0,100.0
13.5,65.98,259.74,1658.8400000000001,96.65,4097.290000000001,11.07,368.31,77.3,502185.03,1784.83,401.0,2097.0,100.0
21.16,36.22,379.41,8188.72,52.01,91191.91,61.28,434.0,50.73,705950.3,99.75,401.0,2097.0,100.0
0.8100000000000023,18.96,445.24,285.71000000000004,42.79,91378.69,55.56,175.37,6.100000000000001,977229.32,1785.99,401.0,2097.0,100.0
3.030000000000001,55.4,195.91,8428.47,3.1499999999999986,39296.59,14.350000000000001,133.87,30.38,129442.62,1149.16,401.0,2097.0,100.0
59.21,29.24,184.18,9363.01,72.05,62056.82,10.619999999999997,429.45,27.87,748170.79,1440.64,401.0,2097.0,100.0
25.05,64.79,466.94,23.5600000000004,3.289999999999999,59162.42,39.45,323.96,98.13,991195.84,453.13,401.0,2097.0,100.0
17.22,92.78,329.95,7906.03,86.42,41733.43,38.89,40.59,22.28,512569.55,213.41999999999996,401.0,2097.0,100.0
88.62,40.55,73.01999999999998,939.0500000000002,32.74,83885.05,58.04,51.329999999999984,59.03,471792.84,375.28999999999996,401.0,2097.0,100.0
4.600000000000001,68.71,233.48,4705.28,28.05,85405.55,79.37,231.47,23.500000000000004,314097.31,1378.43,401.0,2097.0,100.0
65.84,88.89,371.14,9285.19,14.619999999999997,16291.080000000002,51.12,421.41,35.09,161232.21999999997,1927.76,401.0,2097.0,100.0
60.71,79.1,341.16,1044.5,80.17,58899.09,43.7,337.03,79.97,193634.95,1669.65,401.0,2097.0,100.0
16.230000000000004,75.64,372.15,1569.7300000000005,21.610000000000003,39800.01,76.72,202.04,39.32,206883.63,1255.89,401.0,2097.0,100.0
51.07,93.43,109.25999999999999,435.27000000000044,82.67,94733.85,97.6,178.54,46.64,728495.15,880.07,401.0,2097.0,100.0
53.64,27.43,175.31,2969.32,1.9099999999999966,63485.36,4.619999999999997,159.11,95.48,75708.25,1.0900000000000318,401.0,2097.0,100.0
67.68,66.16,453.98,6475.04,3.460000000000001,58574.75,24.04,434.07,41.96,645474.56,1295.07,401.0,2097.0,100.0
67.77,41.39,410.19,7129.86,88.12,93727.77,9.18,243.1,14.019999999999996,398872.75,1336.69,401.0,2097.0,100.0
56.07,43.9,371.42,4291.76,75.72,28262.73,4.170000000000002,140.97,20.34,105764.54999999999,1039.25,401.0,2097.0,100.0
78.09,18.14,472.59,4933.9,12.159999999999997,72611.07,30.9,292.29,13.329999999999998,109900.89000000001,697.73,401.0,2097.0,100.0
32.39,18.05,194.82,7759.7,71.63,22145.04,48.11,186.54,24.279999999999998,932861.28,1341.93,401.0,2097.0,100.0
18.989999999999995,52.08,417.51,4112.45,98.33,33750.79,7.980000000000004,383.84,59.95,41760.19,782.02,401.0,2097.0,100.0
