SSE Value,k_TL,k_TX,R_p,tau_m,K_TL,R,k_deg,X_p,K_p,tau_0,tau_f,N_p,N_m,D
1330766.6619829903,10.095809219101696,1.1453365193601002,30.392291533627088,714.5339123141541,5.381081119185829,73.71454971929484,0.0053869887170776565,0.9626969584392668,3.9908968905541755,0.0,278.4642953515332,810.0,2430.0,100.0
1345007.445052922,11.014994961380495,0.6968854191146363,37.67694488866752,803.7248408879261,4.41076996867357,71.47599081668096,0.0,0.9657412048447043,3.838538788544639,0.0,247.00672373001646,810.0,2430.0,100.0
948071.3773250056,10.276617411225985,1.3775484018544262,30.586587628942823,488.192964266492,3.6145962422981768,81.01979077406719,0.0,1.1106208492386145,4.579735435428226,0.0,258.75538526672767,810.0,2430.0,100.0
1383764.0593801332,10.51728560784749,1.2644093867079178,25.321689385609744,691.2906921337906,4.059155677637854,82.361714029989,0.0,1.0526726078757918,4.325366230512849,1.8925971900785044e-09,334.24724177808525,810.0,2430.0,100.0
1377243.7713845214,9.916940684746272,1.0624743438955448,29.930763197330748,735.6859331269061,4.748312731703265,86.07118904364603,0.0,4.991541484889694,4.576994893963153,0.0,302.8082922133193,810.0,2430.0,100.0
1281806.746159731,9.575821182797647,1.2790619979310165,28.621079617402273,663.8266536867418,5.662075579465878,82.61402645205266,0.0,0.994314632387983,3.810255427789599,0.0,305.1007839524866,810.0,2430.0,100.0
1174574.9647366717,10.20135787138824,1.0424648322411585,33.68150563204347,618.7138469865527,4.114756038999531,94.14128908673393,0.0,0.8966444849055222,4.5724618150944565,0.0,283.361287151522,810.0,2430.0,100.0
1226149.42241999,10.356913603088898,1.0360671675759505,33.46078221849481,663.0565889807299,5.1545320732228035,81.2293418984599,0.0034538570679600866,0.9828235935631824,3.8724815846991234,0.0,269.61190763189666,810.0,2430.0,100.0
1311682.7890509344,10.476979435119297,1.2184501267077508,28.71627474586316,688.9835943723403,4.774249727738756,87.88097974657387,0.01883462913247058,0.5134749082935457,7.25244094791109,0.0,287.94491689006395,810.0,2430.0,100.0
460185.18957746355,10.15670587744853,2.049358989300657,26.787638034732225,347.5712709132613,4.264863405297206,56.64290782869938,0.0,1.0842613850860232,4.215441817100896,0.0,0.0,810.0,2430.0,100.0
